Active_Power,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Max_Wind_Speed,Pyranometer_1,Temperature_Probe_1,Temperature_Probe_2,Active_Energy_Received
25.651699066162,0.76666665077209,23.220001220703,110.73585510254,1.3999999761581,90.307693481445,40.041328430176,39.877769470215,2.125
35.600387573242,1.0299999713898,24.213333129883,134.31848144531,1.7999999523163,118.59267425537,41.89839553833,41.709728240967,2.96875
39.686794281006,1.2233333587646,24.636667251587,142.63784790039,2.2999999523163,131.28945922852,42.243919372559,42.190250396729,3.3125
42.919738769531,1.960000038147,25.263332366943,159.13040161133,3.9000000953674,146.78540039062,42.577926635742,42.616836547852,3.5625
48.174671173096,2.0866665840149,25.273332595825,169.57884216309,4.4000000953674,157.70762634277,42.653800964355,42.763664245605,4.0
66.9892578125,2.5833332538605,25.530000686646,222.03744506836,5.0,207.17381286621,43.192356109619,43.32145690918,5.5625
80.771423339844,2.3299999237061,26.356666564941,278.76010131836,4.1999998092651,262.88577270508,44.445983886719,44.601680755615,6.71875
85.110122680664,2.5166666507721,26.950000762939,286.60214233398,5.4000000953674,270.14324951172,45.069694519043,45.391773223877,7.09375
93.420272827148,2.6266667842865,27.369998931885,328.74505615234,4.9000000953674,308.55126953125,45.75745010376,46.141609191895,7.78125
106.29903411865,2.0199999809265,27.923332214355,361.04373168945,4.4000000953674,341.46105957031,46.579784393311,46.988925933838,8.90625
133.91371154785,2.4766666889191,28.426666259766,431.68518066406,4.5999999046326,410.60998535156,47.609439849854,48.105251312256,11.15625
137.77049255371,2.8066666126251,28.926666259766,452.98876953125,5.9000000953674,432.15576171875,48.740398406982,49.469772338867,11.46875
139.61038208008,4.0,28.713333129883,455.31170654297,6.5,436.84646606445,48.431034088135,49.280158996582,11.625
155.8458404541,3.6500000953674,28.686666488647,509.16970825195,5.8000001907349,488.79806518555,48.880966186523,49.601318359375,12.96875
157.94146728516,3.3499999046326,28.720001220703,548.00946044922,6.4000000953674,521.84307861328,49.542686462402,50.469867706299,13.15625
190.11064147949,3.5199999809265,28.979999542236,683.03790283203,6.5999999046326,652.54034423828,50.590412139893,51.526950836182,15.875
204.11645507812,2.686666727066,29.363332748413,683.64013671875,5.3000001907349,655.08020019531,50.440883636475,51.668571472168,17.03125
259.90502929688,3.2233333587646,30.053333282471,1175.6171875,6.1999998092651,1114.2952880859,56.873996734619,58.337593078613,21.6875
158.76934814453,2.8666665554047,30.420000076294,857.57537841797,6.1999998092651,816.88031005859,60.238414764404,61.985847473145,13.25
233.15748596191,1.8533333539963,30.859998703003,552.07916259766,4.0,528.71301269531,54.123210906982,55.223281860352,19.40625
169.8751373291,2.4200000762939,31.549999237061,959.92395019531,4.5999999046326,923.5693359375,64.393508911133,65.34245300293,14.15625
